REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,6,50,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.463914783660086
1,2,6,50,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,4.402916768743295
1,2,6,50,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.2715798551545494
1,2,6,50,10,1,Flat,Exp,BBin,1.0,1.0,1.0,1.2638756265210578
1,2,6,50,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.2311636245003352
1,2,6,50,10,1,GP0,Exp,BBin,1.0,1.0,1.0,1.2362613390306656
1,2,6,50,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.2541614026609307
1,2,6,50,10,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.2628440060205202
1,2,6,50,10,10,Flat,Exp,Bin,1.0,1.0,1.0,2.5491396744563746
1,2,6,50,10,10,Flat,Exp,BBin,1.0,1.0,1.0,2.555245009179031
1,2,6,50,10,10,GP0,Exp,Bin,1.0,1.0,1.0,2.5080254159836874
1,2,6,50,10,10,GP0,Exp,BBin,1.0,1.0,1.0,2.5308945320543397
1,2,6,50,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.4896796056493815
1,2,6,50,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,2.5068088912443836
1,2,6,50,10,20,Flat,Exp,Bin,1.0,1.0,1.0,5.61124789963491
1,2,6,50,10,20,Flat,Exp,BBin,1.0,1.0,1.0,5.523393703583396
1,2,6,50,10,20,GP0,Exp,Bin,1.0,1.0,1.0,5.602949754387797
1,2,6,50,10,20,GP0,Exp,BBin,1.0,1.0,1.0,5.53471001847902
1,2,6,50,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,5.550912806053818
1,2,6,50,10,20,GP0,ExpQ,BBin,0.0,0.0,0.6998542122237652,4.821221655372751
1,2,6,50,100,1,Flat,Exp,Bin,0.9199936554735536,0.8756291470008518,0.9596124393041067,0.9473749964161304
1,2,6,50,100,1,Flat,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8403488747023485
1,2,6,50,100,1,GP0,Exp,Bin,0.9199936554735536,0.8756291470008518,0.9596124393041067,0.945095301342732
1,2,6,50,100,1,GP0,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8590137361900942
1,2,6,50,100,1,GP0,ExpQ,Bin,0.9199936554735536,0.8756291470008518,0.9596124393041067,0.9508118930454128
1,2,6,50,100,1,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8503044012003469
1,2,6,50,100,10,Flat,Exp,Bin,1.0,1.0,1.0,4.052670054551548
1,2,6,50,100,10,Flat,Exp,BBin,1.0,1.0,1.0,3.9978579908822467
1,2,6,50,100,10,GP0,Exp,Bin,1.0,1.0,1.0,3.931119428291082
1,2,6,50,100,10,GP0,Exp,BBin,1.0,1.0,1.0,3.9095967305754047
1,2,6,50,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.035227090823445
1,2,6,50,100,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.08901040525958
1,2,6,50,100,20,Flat,Exp,Bin,1.0,1.0,1.0,4.999211282213924
1,2,6,50,100,20,Flat,Exp,BBin,1.0,1.0,1.0,4.95790308757025
1,2,6,50,100,20,GP0,Exp,Bin,1.0,1.0,1.0,4.842201350707217
1,2,6,50,100,20,GP0,Exp,BBin,1.0,1.0,1.0,4.822366510331304
1,2,6,50,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.829123874509713
1,2,6,50,100,20,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,4.272214015660787
1,2,6,100,1,1,Flat,Exp,Bin,0.5135174845724361,0.4175406535616155,0.7550894346296706,0.5883158087014406
1,2,6,100,1,1,Flat,Exp,BBin,0.5135174845724361,0.4175406535616155,0.7550894346296706,0.5921083349304712
1,2,6,100,1,1,GP0,Exp,Bin,0.5135174845724361,0.4175406535616155,0.7550894346296706,0.5740867234410317
1,2,6,100,1,1,GP0,Exp,BBin,0.543014188930078,0.44970747640582354,0.7699852790632175,0.5652204806919452
