REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,100,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.8600556103751917
1,2,3,100,1,1,Flat,Exp,BBin,1.0,1.0,1.0,1.8572195957314959
1,2,3,100,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.852368770444164
1,2,3,100,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.8575920843740517
1,2,3,100,1,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.8522669405616166
1,2,3,100,1,1,GP0,Mat32,BBin,1.0,1.0,1.0,1.8547315403634261
1,2,3,100,1,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.85179614868411
1,2,3,100,1,1,GP0,Mat52,BBin,1.0,1.0,1.0,1.8511842714290583
1,2,3,100,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.8538987173253125
1,2,3,100,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.8578830630045067
1,2,3,100,1,10,Flat,Exp,Bin,1.0,1.0,1.0,1.150485094924411
1,2,3,100,1,10,Flat,Exp,BBin,1.0,1.0,1.0,1.1511398939761428
1,2,3,100,1,10,GP0,Exp,Bin,1.0,1.0,1.0,1.150091141982871
1,2,3,100,1,10,GP0,Exp,BBin,1.0,1.0,1.0,1.1464827714872465
1,2,3,100,1,10,GP0,Mat32,Bin,1.0,1.0,1.0,1.1529072463851078
1,2,3,100,1,10,GP0,Mat32,BBin,0.0,5.721221854363007e-15,0.7150616276329833,1.0739089028080964
1,2,3,100,1,10,GP0,Mat52,Bin,1.0,1.0,1.0,1.1501337691872004
1,2,3,100,1,10,GP0,Mat52,BBin,1.0,1.0,1.0,1.1477693938110574
1,2,3,100,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,1.1485173163436233
1,2,3,100,1,10,GP0,ExpQ,BBin,0.0,5.721221854363007e-15,0.7150616276329833,1.0835672778167929
1,2,3,100,1,20,Flat,Exp,Bin,1.0,1.0,1.0,2.19950214109473
1,2,3,100,1,20,Flat,Exp,BBin,1.0,1.0,1.0,2.19988036328406
1,2,3,100,1,20,GP0,Exp,Bin,1.0,1.0,1.0,2.2011994803165673
1,2,3,100,1,20,GP0,Exp,BBin,1.0,1.0,1.0,2.2043082197690755
1,2,3,100,1,20,GP0,Mat32,Bin,1.0,1.0,1.0,2.200884375070512
